,NormalLength,NormalWidth,NormalArea,BuffedLength,BuffedWidth,BuffedArea,Xoffset,NormalXHS,X_Vector,Yoffset,NormalYHS,Y_vector
DFA_CC,1520,1100,1866600,1630,1320,2151600,1090,760,330,540,550,10
DFA_CW,2040,1200,2877000,2200,1470,3234000,1020,1020,0,600,600,0
DFA_MM,1740,1320,2534500,1950,1470,2866500,870,870,0,660,660,0
DFA_FA,2120,1360,3022200,2290,1480,3389200,1060,1060,0,680,680,0
DFA_SW,1570,1300,2056700,1670,1410,2354700,170,785,-615,750,650,-100
DFA_LC,1460,1160,1693600,1530,1230,2793000,640,730,-90,30,580,610
